Date,HH,Price
2021-01-01 00:00:00,1,34.68627
2021-01-01 00:00:00,2,32.70009
2021-01-01 00:00:00,3,33.83769
2021-01-01 00:00:00,4,33.12253
2021-01-01 00:00:00,5,34.40224
2021-01-01 00:00:00,6,37.14257
2021-01-01 00:00:00,7,40.65289
2021-01-01 00:00:00,8,38.35702
2021-01-01 00:00:00,9,28.84534
2021-01-01 00:00:00,10,21.52479
2021-01-01 00:00:00,11,16.21029
2021-01-01 00:00:00,12,14.16763
2021-01-01 00:00:00,13,12.43305
2021-01-01 00:00:00,14,11.85437
2021-01-01 00:00:00,15,17.44422
2021-01-01 00:00:00,16,29.74926
2021-01-01 00:00:00,17,41.18432
2021-01-01 00:00:00,18,58.60731
2021-01-01 00:00:00,19,50.13848
2021-01-01 00:00:00,20,47.69914
2021-01-01 00:00:00,21,45.93895
2021-01-01 00:00:00,22,42.72663
2021-01-01 00:00:00,23,38.45834
2021-01-01 00:00:00,24,36.27511
2021-01-02 00:00:00,1,33.96336
2021-01-02 00:00:00,2,32.39177
2021-01-02 00:00:00,3,32.88898
2021-01-02 00:00:00,4,32.58826
2021-01-02 00:00:00,5,32.96129
2021-01-02 00:00:00,6,35.57096
2021-01-02 00:00:00,7,39.32226
2021-01-02 00:00:00,8,35.24608
2021-01-02 00:00:00,9,27.42845
2021-01-02 00:00:00,10,20.71821
2021-01-02 00:00:00,11,17.51055
2021-01-02 00:00:00,12,15.09587
2021-01-02 00:00:00,13,12.47329
2021-01-02 00:00:00,14,13.30213
2021-01-02 00:00:00,15,16.14801
2021-01-02 00:00:00,16,28.89002
2021-01-02 00:00:00,17,41.34367
2021-01-02 00:00:00,18,55.17889
2021-01-02 00:00:00,19,48.94283
2021-01-02 00:00:00,20,45.6157
2021-01-02 00:00:00,21,44.60104
2021-01-02 00:00:00,22,41.08463
2021-01-02 00:00:00,23,37.96316
2021-01-02 00:00:00,24,35.32636
2021-01-03 00:00:00,1,31.21854
2021-01-03 00:00:00,2,31.18399
2021-01-03 00:00:00,3,30.9965
2021-01-03 00:00:00,4,30.85751
2021-01-03 00:00:00,5,31.25261
2021-01-03 00:00:00,6,33.98288
2021-01-03 00:00:00,7,37.56098
2021-01-03 00:00:00,8,33.69656
2021-01-03 00:00:00,9,26.85007
2021-01-03 00:00:00,10,20.59539
2021-01-03 00:00:00,11,16.44347
2021-01-03 00:00:00,12,15.24614
2021-01-03 00:00:00,13,15.05287
2021-01-03 00:00:00,14,14.31074
2021-01-03 00:00:00,15,18.15183
2021-01-03 00:00:00,16,30.77938
2021-01-03 00:00:00,17,41.44498
2021-01-03 00:00:00,18,60.82211
2021-01-03 00:00:00,19,53.0995
2021-01-03 00:00:00,20,46.97001
2021-01-03 00:00:00,21,44.06673
2021-01-03 00:00:00,22,39.97186
2021-01-03 00:00:00,23,37.69644
2021-01-03 00:00:00,24,34.68685
2021-01-04 00:00:00,1,31.02839
2021-01-04 00:00:00,2,30.77623
2021-01-04 00:00:00,3,30.28689
2021-01-04 00:00:00,4,30.40642
2021-01-04 00:00:00,5,31.74108
2021-01-04 00:00:00,6,37.7321
2021-01-04 00:00:00,7,48.91411
2021-01-04 00:00:00,8,54.80389
2021-01-04 00:00:00,9,37.14501
2021-01-04 00:00:00,10,31.2989
2021-01-04 00:00:00,11,31.17207
2021-01-04 00:00:00,12,29.34256
2021-01-04 00:00:00,13,26.69417
2021-01-04 00:00:00,14,26.00104
2021-01-04 00:00:00,15,28.32901
2021-01-04 00:00:00,16,32.7656
2021-01-04 00:00:00,17,41.32463
2021-01-04 00:00:00,18,63.02793
2021-01-04 00:00:00,19,64.41915
2021-01-04 00:00:00,20,50.90718
2021-01-04 00:00:00,21,46.91958
2021-01-04 00:00:00,22,40.0528
2021-01-04 00:00:00,23,34.85057
2021-01-04 00:00:00,24,32.70447
2021-01-05 00:00:00,1,29.00763
2021-01-05 00:00:00,2,28.0862
2021-01-05 00:00:00,3,27.0021
2021-01-05 00:00:00,4,27.19335
2021-01-05 00:00:00,5,28.13835
2021-01-05 00:00:00,6,31.97082
2021-01-05 00:00:00,7,42.06653
2021-01-05 00:00:00,8,51.64757
2021-01-05 00:00:00,9,33.64282
2021-01-05 00:00:00,10,28.09958
2021-01-05 00:00:00,11,25.18475
2021-01-05 00:00:00,12,24.05322
2021-01-05 00:00:00,13,22.81004
2021-01-05 00:00:00,14,23.33644
2021-01-05 00:00:00,15,26.69875
2021-01-05 00:00:00,16,39.01757
2021-01-05 00:00:00,17,46.27132
2021-01-05 00:00:00,18,68.13454
2021-01-05 00:00:00,19,62.02123
2021-01-05 00:00:00,20,53.62195
2021-01-05 00:00:00,21,45.53322
2021-01-05 00:00:00,22,39.52506
2021-01-05 00:00:00,23,34.47
2021-01-05 00:00:00,24,33.54649
2021-01-06 00:00:00,1,29.76512
2021-01-06 00:00:00,2,29.00716
2021-01-06 00:00:00,3,28.70968
2021-01-06 00:00:00,4,29.12208
2021-01-06 00:00:00,5,30.51136
2021-01-06 00:00:00,6,36.15642
2021-01-06 00:00:00,7,43.18722
2021-01-06 00:00:00,8,50.75643
2021-01-06 00:00:00,9,34.77498
2021-01-06 00:00:00,10,29.86301
2021-01-06 00:00:00,11,27.58914
2021-01-06 00:00:00,12,25.96396
2021-01-06 00:00:00,13,24.51187
2021-01-06 00:00:00,14,24.76269
2021-01-06 00:00:00,15,27.74562
2021-01-06 00:00:00,16,33.06096
2021-01-06 00:00:00,17,46.14484
2021-01-06 00:00:00,18,61.76627
2021-01-06 00:00:00,19,53.56885
2021-01-06 00:00:00,20,47.53533
2021-01-06 00:00:00,21,41.53659
2021-01-06 00:00:00,22,38.41701
2021-01-06 00:00:00,23,34.94428
2021-01-06 00:00:00,24,32.44116
2021-01-07 00:00:00,1,29.36484
2021-01-07 00:00:00,2,28.66633
2021-01-07 00:00:00,3,27.72504
2021-01-07 00:00:00,4,28.2739
2021-01-07 00:00:00,5,30.53022
2021-01-07 00:00:00,6,35.88271
2021-01-07 00:00:00,7,46.06485
2021-01-07 00:00:00,8,47.34222
2021-01-07 00:00:00,9,34.9606
2021-01-07 00:00:00,10,30.93641
2021-01-07 00:00:00,11,28.73838
2021-01-07 00:00:00,12,26.78836
2021-01-07 00:00:00,13,24.94935
2021-01-07 00:00:00,14,25.3687
2021-01-07 00:00:00,15,28.43259
2021-01-07 00:00:00,16,32.61301
2021-01-07 00:00:00,17,44.03237
2021-01-07 00:00:00,18,59.50209
2021-01-07 00:00:00,19,53.9666
2021-01-07 00:00:00,20,47.40162
2021-01-07 00:00:00,21,42.12126
2021-01-07 00:00:00,22,38.29692
2021-01-07 00:00:00,23,35.77391
2021-01-07 00:00:00,24,32.70327
2021-01-08 00:00:00,1,31.90424
2021-01-08 00:00:00,2,30.75242
2021-01-08 00:00:00,3,30.35378
2021-01-08 00:00:00,4,30.51812
2021-01-08 00:00:00,5,31.15129
2021-01-08 00:00:00,6,36.77548
2021-01-08 00:00:00,7,45.68604
2021-01-08 00:00:00,8,46.35472
2021-01-08 00:00:00,9,34.83319
2021-01-08 00:00:00,10,30.79509
2021-01-08 00:00:00,11,26.44859
2021-01-08 00:00:00,12,24.09381
2021-01-08 00:00:00,13,21.65645
2021-01-08 00:00:00,14,19.80989
2021-01-08 00:00:00,15,22.11591
2021-01-08 00:00:00,16,28.19393
2021-01-08 00:00:00,17,39.47286
2021-01-08 00:00:00,18,48.75479
2021-01-08 00:00:00,19,44.02953
2021-01-08 00:00:00,20,39.92414
2021-01-08 00:00:00,21,37.56532
2021-01-08 00:00:00,22,35.89744
2021-01-08 00:00:00,23,32.93381
2021-01-08 00:00:00,24,31.77
2021-01-09 00:00:00,1,32.1937
2021-01-09 00:00:00,2,30.89065
2021-01-09 00:00:00,3,29.61017
2021-01-09 00:00:00,4,29.6979
2021-01-09 00:00:00,5,30.91651
2021-01-09 00:00:00,6,35.27865
2021-01-09 00:00:00,7,40.01908
2021-01-09 00:00:00,8,38.73003
2021-01-09 00:00:00,9,30.53514
2021-01-09 00:00:00,10,26.55229
2021-01-09 00:00:00,11,21.83518
2021-01-09 00:00:00,12,18.76531
2021-01-09 00:00:00,13,14.42387
2021-01-09 00:00:00,14,13.46258
2021-01-09 00:00:00,15,18.74897
2021-01-09 00:00:00,16,28.472
2021-01-09 00:00:00,17,36.87704
2021-01-09 00:00:00,18,54.07379
2021-01-09 00:00:00,19,49.11707
2021-01-09 00:00:00,20,42.60288
2021-01-09 00:00:00,21,40.08633
2021-01-09 00:00:00,22,38.30814
2021-01-09 00:00:00,23,34.43231
2021-01-09 00:00:00,24,32.81465
2021-01-10 00:00:00,1,32.78449
2021-01-10 00:00:00,2,31.4554
2021-01-10 00:00:00,3,32.21449
2021-01-10 00:00:00,4,31.66769
2021-01-10 00:00:00,5,31.61369
2021-01-10 00:00:00,6,34.60334
2021-01-10 00:00:00,7,39.5639
2021-01-10 00:00:00,8,35.52632
2021-01-10 00:00:00,9,29.06651
2021-01-10 00:00:00,10,23.05335
2021-01-10 00:00:00,11,16.49843
2021-01-10 00:00:00,12,14.04368
2021-01-10 00:00:00,13,10.99993
2021-01-10 00:00:00,14,9.14837
2021-01-10 00:00:00,15,15.29707
2021-01-10 00:00:00,16,26.33721
2021-01-10 00:00:00,17,36.42408
2021-01-10 00:00:00,18,51.34363
2021-01-10 00:00:00,19,49.71929
2021-01-10 00:00:00,20,42.25906
2021-01-10 00:00:00,21,40.42807
2021-01-10 00:00:00,22,38.08033
2021-01-10 00:00:00,23,34.06201
2021-01-10 00:00:00,24,32.30513
2021-01-11 00:00:00,1,31.25064
2021-01-11 00:00:00,2,30.36229
2021-01-11 00:00:00,3,30.24486
2021-01-11 00:00:00,4,30.15204
2021-01-11 00:00:00,5,31.34796
2021-01-11 00:00:00,6,37.5305
2021-01-11 00:00:00,7,45.98901
2021-01-11 00:00:00,8,46.78899
2021-01-11 00:00:00,9,36.0197
2021-01-11 00:00:00,10,31.82956
2021-01-11 00:00:00,11,26.34188
2021-01-11 00:00:00,12,24.53817
2021-01-11 00:00:00,13,23.74286
2021-01-11 00:00:00,14,22.41212
2021-01-11 00:00:00,15,25.21369
2021-01-11 00:00:00,16,32.21936
2021-01-11 00:00:00,17,43.3572
2021-01-11 00:00:00,18,59.25194
2021-01-11 00:00:00,19,56.04463
2021-01-11 00:00:00,20,55.95209
2021-01-11 00:00:00,21,47.95086
2021-01-11 00:00:00,22,44.63647
2021-01-11 00:00:00,23,38.7912
2021-01-11 00:00:00,24,33.99109
2021-01-12 00:00:00,1,32.22233
2021-01-12 00:00:00,2,31.63882
2021-01-12 00:00:00,3,31.12097
2021-01-12 00:00:00,4,31.1274
2021-01-12 00:00:00,5,32.48401
2021-01-12 00:00:00,6,36.8752
2021-01-12 00:00:00,7,48.13797
2021-01-12 00:00:00,8,49.90815
2021-01-12 00:00:00,9,36.89827
2021-01-12 00:00:00,10,30.7808
2021-01-12 00:00:00,11,29.80126
2021-01-12 00:00:00,12,27.24252
2021-01-12 00:00:00,13,24.32925
2021-01-12 00:00:00,14,24.57687
2021-01-12 00:00:00,15,26.50125
2021-01-12 00:00:00,16,32.2935
2021-01-12 00:00:00,17,45.69329
2021-01-12 00:00:00,18,63.95386
2021-01-12 00:00:00,19,56.56088
2021-01-12 00:00:00,20,51.40406
2021-01-12 00:00:00,21,43.08144
2021-01-12 00:00:00,22,39.41913
2021-01-12 00:00:00,23,35.80981
2021-01-12 00:00:00,24,33.99402
2021-01-13 00:00:00,1,30.71665
2021-01-13 00:00:00,2,29.84605
2021-01-13 00:00:00,3,29.12184
2021-01-13 00:00:00,4,29.2006
2021-01-13 00:00:00,5,30.37067
2021-01-13 00:00:00,6,35.90856
2021-01-13 00:00:00,7,45.84826
2021-01-13 00:00:00,8,49.26097
2021-01-13 00:00:00,9,38.09585
2021-01-13 00:00:00,10,30.70062
2021-01-13 00:00:00,11,26.01076
2021-01-13 00:00:00,12,24.6891
2021-01-13 00:00:00,13,22.14046
2021-01-13 00:00:00,14,22.04944
2021-01-13 00:00:00,15,23.56361
2021-01-13 00:00:00,16,30.40922
2021-01-13 00:00:00,17,42.67207
2021-01-13 00:00:00,18,60.58728
2021-01-13 00:00:00,19,53.05057
2021-01-13 00:00:00,20,43.21387
2021-01-13 00:00:00,21,41.11656
2021-01-13 00:00:00,22,40.36327
2021-01-13 00:00:00,23,34.26476
2021-01-13 00:00:00,24,32.6817
2021-01-14 00:00:00,1,30.82158
2021-01-14 00:00:00,2,30.89598
2021-01-14 00:00:00,3,29.62612
2021-01-14 00:00:00,4,29.7767
2021-01-14 00:00:00,5,29.64326
2021-01-14 00:00:00,6,34.83282
2021-01-14 00:00:00,7,45.77293
2021-01-14 00:00:00,8,46.74349
2021-01-14 00:00:00,9,34.27843
2021-01-14 00:00:00,10,28.92223
2021-01-14 00:00:00,11,25.52184
2021-01-14 00:00:00,12,23.59222
2021-01-14 00:00:00,13,21.62055
2021-01-14 00:00:00,14,23.19853
2021-01-14 00:00:00,15,26.31406
2021-01-14 00:00:00,16,33.9317
2021-01-14 00:00:00,17,44.99078
2021-01-14 00:00:00,18,59.43388
2021-01-14 00:00:00,19,50.10082
2021-01-14 00:00:00,20,45.83075
2021-01-14 00:00:00,21,41.3122
2021-01-14 00:00:00,22,38.34811
2021-01-14 00:00:00,23,34.33682
2021-01-14 00:00:00,24,31.67001
2021-01-15 00:00:00,1,28.56841
2021-01-15 00:00:00,2,28.81524
2021-01-15 00:00:00,3,27.6991
2021-01-15 00:00:00,4,28.39078
2021-01-15 00:00:00,5,29.26604
2021-01-15 00:00:00,6,32.76278
2021-01-15 00:00:00,7,43.34431
2021-01-15 00:00:00,8,42.99582
2021-01-15 00:00:00,9,32.37513
2021-01-15 00:00:00,10,27.43621
2021-01-15 00:00:00,11,24.87047
2021-01-15 00:00:00,12,24.52923
2021-01-15 00:00:00,13,25.18897
2021-01-15 00:00:00,14,25.6349
2021-01-15 00:00:00,15,27.23552
2021-01-15 00:00:00,16,34.73154
2021-01-15 00:00:00,17,45.90464
2021-01-15 00:00:00,18,51.91984
2021-01-15 00:00:00,19,48.40303
2021-01-15 00:00:00,20,41.32613
2021-01-15 00:00:00,21,39.11187
2021-01-15 00:00:00,22,36.21844
2021-01-15 00:00:00,23,34.30162
2021-01-15 00:00:00,24,30.4878
2021-01-16 00:00:00,1,30.79729
2021-01-16 00:00:00,2,30.31241
2021-01-16 00:00:00,3,30.27193
2021-01-16 00:00:00,4,30.20066
2021-01-16 00:00:00,5,30.73962
2021-01-16 00:00:00,6,33.03608
2021-01-16 00:00:00,7,38.1087
2021-01-16 00:00:00,8,36.02986
2021-01-16 00:00:00,9,28.22989
2021-01-16 00:00:00,10,24.22933
2021-01-16 00:00:00,11,20.09243
