Date,HH,Price
2021-01-16 00:00:00,12,18.03746
2021-01-16 00:00:00,13,16.40117
2021-01-16 00:00:00,14,16.09482
2021-01-16 00:00:00,15,21.39253
2021-01-16 00:00:00,16,30.52979
2021-01-16 00:00:00,17,40.27909
2021-01-16 00:00:00,18,48.4571
2021-01-16 00:00:00,19,47.14391
2021-01-16 00:00:00,20,43.4128
2021-01-16 00:00:00,21,40.5686
2021-01-16 00:00:00,22,38.43669
2021-01-16 00:00:00,23,33.56643
2021-01-16 00:00:00,24,33.19306
2021-01-17 00:00:00,1,30.99301
2021-01-17 00:00:00,2,30.30926
2021-01-17 00:00:00,3,30.6623
2021-01-17 00:00:00,4,30.76292
2021-01-17 00:00:00,5,30.82614
2021-01-17 00:00:00,6,32.79632
2021-01-17 00:00:00,7,34.40518
2021-01-17 00:00:00,8,31.6102
2021-01-17 00:00:00,9,21.37605
2021-01-17 00:00:00,10,13.12193
2021-01-17 00:00:00,11,8.94146
2021-01-17 00:00:00,12,7.44783
2021-01-17 00:00:00,13,6.20201
2021-01-17 00:00:00,14,6.71869
2021-01-17 00:00:00,15,14.1373
2021-01-17 00:00:00,16,25.76523
2021-01-17 00:00:00,17,40.48716
2021-01-17 00:00:00,18,50.99698
2021-01-17 00:00:00,19,49.4656
2021-01-17 00:00:00,20,41.59881
2021-01-17 00:00:00,21,39.85087
2021-01-17 00:00:00,22,38.38963
2021-01-17 00:00:00,23,33.41833
2021-01-17 00:00:00,24,30.84927
2021-01-18 00:00:00,1,29.78024
2021-01-18 00:00:00,2,29.38463
2021-01-18 00:00:00,3,28.95693
2021-01-18 00:00:00,4,28.95392
2021-01-18 00:00:00,5,29.96337
2021-01-18 00:00:00,6,33.10251
2021-01-18 00:00:00,7,40.69905
2021-01-18 00:00:00,8,38.25425
2021-01-18 00:00:00,9,30.26493
2021-01-18 00:00:00,10,25.79214
2021-01-18 00:00:00,11,20.13648
2021-01-18 00:00:00,12,18.5395
2021-01-18 00:00:00,13,16.77459
2021-01-18 00:00:00,14,16.10742
2021-01-18 00:00:00,15,21.2573
2021-01-18 00:00:00,16,30.17273
2021-01-18 00:00:00,17,39.28235
2021-01-18 00:00:00,18,49.01782
2021-01-18 00:00:00,19,44.21254
2021-01-18 00:00:00,20,40.22819
2021-01-18 00:00:00,21,38.58193
2021-01-18 00:00:00,22,35.12586
2021-01-18 00:00:00,23,33.81807
2021-01-18 00:00:00,24,31.13061
2021-01-19 00:00:00,1,30.61119
2021-01-19 00:00:00,2,30.4012
2021-01-19 00:00:00,3,28.89835
2021-01-19 00:00:00,4,28.9163
2021-01-19 00:00:00,5,30.42806
2021-01-19 00:00:00,6,33.99959
2021-01-19 00:00:00,7,39.7337
2021-01-19 00:00:00,8,40.2374
2021-01-19 00:00:00,9,32.04304
2021-01-19 00:00:00,10,28.84814
2021-01-19 00:00:00,11,23.89875
2021-01-19 00:00:00,12,21.66874
2021-01-19 00:00:00,13,20.8622
2021-01-19 00:00:00,14,20.73183
2021-01-19 00:00:00,15,22.81308
2021-01-19 00:00:00,16,28.37369
2021-01-19 00:00:00,17,38.53143
2021-01-19 00:00:00,18,47.26891
2021-01-19 00:00:00,19,43.46973
2021-01-19 00:00:00,20,40.76641
2021-01-19 00:00:00,21,39.56241
2021-01-19 00:00:00,22,37.11631
2021-01-19 00:00:00,23,34.43264
2021-01-19 00:00:00,24,32.79925
2021-01-20 00:00:00,1,29.82097
2021-01-20 00:00:00,2,29.05117
2021-01-20 00:00:00,3,28.0
2021-01-20 00:00:00,4,28.7782
2021-01-20 00:00:00,5,29.2
2021-01-20 00:00:00,6,33.68246
2021-01-20 00:00:00,7,43.01526
2021-01-20 00:00:00,8,44.85834
2021-01-20 00:00:00,9,33.59957
2021-01-20 00:00:00,10,25.72697
2021-01-20 00:00:00,11,23.13829
2021-01-20 00:00:00,12,21.27014
2021-01-20 00:00:00,13,19.54208
2021-01-20 00:00:00,14,19.7168
2021-01-20 00:00:00,15,23.01175
2021-01-20 00:00:00,16,30.8505
2021-01-20 00:00:00,17,41.29596
2021-01-20 00:00:00,18,49.93065
2021-01-20 00:00:00,19,45.38381
2021-01-20 00:00:00,20,43.13034
2021-01-20 00:00:00,21,42.21782
2021-01-20 00:00:00,22,39.41133
2021-01-20 00:00:00,23,34.59546
2021-01-20 00:00:00,24,31.69
2021-01-21 00:00:00,1,31.38758
2021-01-21 00:00:00,2,30.83096
2021-01-21 00:00:00,3,29.2
2021-01-21 00:00:00,4,29.85763
2021-01-21 00:00:00,5,30.31387
2021-01-21 00:00:00,6,38.25355
2021-01-21 00:00:00,7,43.40155
2021-01-21 00:00:00,8,44.11426
2021-01-21 00:00:00,9,31.9881
2021-01-21 00:00:00,10,23.72134
2021-01-21 00:00:00,11,22.36979
2021-01-21 00:00:00,12,18.73374
2021-01-21 00:00:00,13,14.83372
2021-01-21 00:00:00,14,14.18143
2021-01-21 00:00:00,15,17.48818
2021-01-21 00:00:00,16,28.10449
2021-01-21 00:00:00,17,39.46071
2021-01-21 00:00:00,18,46.85548
2021-01-21 00:00:00,19,45.22138
2021-01-21 00:00:00,20,41.0973
2021-01-21 00:00:00,21,39.28656
2021-01-21 00:00:00,22,38.86685
2021-01-21 00:00:00,23,33.13382
2021-01-21 00:00:00,24,32.71469
2021-01-22 00:00:00,1,29.80268
2021-01-22 00:00:00,2,29.08218
2021-01-22 00:00:00,3,28.44617
2021-01-22 00:00:00,4,28.9832
2021-01-22 00:00:00,5,28.87459
2021-01-22 00:00:00,6,31.15048
2021-01-22 00:00:00,7,40.14337
2021-01-22 00:00:00,8,40.90078
2021-01-22 00:00:00,9,33.38606
2021-01-22 00:00:00,10,28.53452
2021-01-22 00:00:00,11,26.33041
2021-01-22 00:00:00,12,23.51482
2021-01-22 00:00:00,13,21.17282
2021-01-22 00:00:00,14,20.28931
2021-01-22 00:00:00,15,23.16476
2021-01-22 00:00:00,16,30.84184
2021-01-22 00:00:00,17,39.00452
2021-01-22 00:00:00,18,44.53263
2021-01-22 00:00:00,19,43.79384
2021-01-22 00:00:00,20,40.06369
2021-01-22 00:00:00,21,38.71658
2021-01-22 00:00:00,22,37.57531
2021-01-22 00:00:00,23,32.4768
2021-01-22 00:00:00,24,31.1367
2021-01-23 00:00:00,1,30.71098
2021-01-23 00:00:00,2,30.72714
2021-01-23 00:00:00,3,29.11019
2021-01-23 00:00:00,4,29.72064
2021-01-23 00:00:00,5,29.79121
2021-01-23 00:00:00,6,31.40116
2021-01-23 00:00:00,7,39.19907
2021-01-23 00:00:00,8,39.38265
2021-01-23 00:00:00,9,30.88966
2021-01-23 00:00:00,10,28.4055
2021-01-23 00:00:00,11,26.34773
2021-01-23 00:00:00,12,24.00736
2021-01-23 00:00:00,13,21.667
2021-01-23 00:00:00,14,20.96165
2021-01-23 00:00:00,15,23.40962
2021-01-23 00:00:00,16,28.75917
2021-01-23 00:00:00,17,38.31279
2021-01-23 00:00:00,18,46.59483
2021-01-23 00:00:00,19,44.52454
2021-01-23 00:00:00,20,43.09775
2021-01-23 00:00:00,21,39.86058
2021-01-23 00:00:00,22,39.81433
2021-01-23 00:00:00,23,36.05463
2021-01-23 00:00:00,24,30.97272
2021-01-24 00:00:00,1,31.58813
2021-01-24 00:00:00,2,30.43569
2021-01-24 00:00:00,3,30.45493
2021-01-24 00:00:00,4,30.49608
2021-01-24 00:00:00,5,31.93602
2021-01-24 00:00:00,6,33.6936
2021-01-24 00:00:00,7,38.45519
2021-01-24 00:00:00,8,34.39466
2021-01-24 00:00:00,9,26.47801
2021-01-24 00:00:00,10,19.03315
2021-01-24 00:00:00,11,13.57842
2021-01-24 00:00:00,12,11.1996
2021-01-24 00:00:00,13,6.98675
2021-01-24 00:00:00,14,5.87118
2021-01-24 00:00:00,15,12.74197
2021-01-24 00:00:00,16,25.77043
2021-01-24 00:00:00,17,39.70542
2021-01-24 00:00:00,18,48.25126
2021-01-24 00:00:00,19,47.3824
2021-01-24 00:00:00,20,42.18787
2021-01-24 00:00:00,21,39.01983
2021-01-24 00:00:00,22,37.35421
2021-01-24 00:00:00,23,32.73307
2021-01-24 00:00:00,24,31.22088
2021-01-25 00:00:00,1,29.25156
2021-01-25 00:00:00,2,28.2336
2021-01-25 00:00:00,3,27.30197
2021-01-25 00:00:00,4,26.3052
2021-01-25 00:00:00,5,27.45078
2021-01-25 00:00:00,6,33.13728
2021-01-25 00:00:00,7,41.57009
2021-01-25 00:00:00,8,44.62931
2021-01-25 00:00:00,9,35.11012
2021-01-25 00:00:00,10,32.44935
2021-01-25 00:00:00,11,28.33461
2021-01-25 00:00:00,12,25.97362
2021-01-25 00:00:00,13,23.74187
2021-01-25 00:00:00,14,21.52196
2021-01-25 00:00:00,15,25.47009
2021-01-25 00:00:00,16,31.7615
2021-01-25 00:00:00,17,41.67086
2021-01-25 00:00:00,18,48.33682
2021-01-25 00:00:00,19,51.41762
2021-01-25 00:00:00,20,47.45656
2021-01-25 00:00:00,21,43.20416
2021-01-25 00:00:00,22,40.27499
2021-01-25 00:00:00,23,36.41929
2021-01-25 00:00:00,24,33.94711
2021-01-26 00:00:00,1,32.77795
2021-01-26 00:00:00,2,30.78519
2021-01-26 00:00:00,3,30.72067
2021-01-26 00:00:00,4,30.71421
2021-01-26 00:00:00,5,31.04401
2021-01-26 00:00:00,6,39.94029
2021-01-26 00:00:00,7,51.75778
2021-01-26 00:00:00,8,51.81818
2021-01-26 00:00:00,9,34.10148
2021-01-26 00:00:00,10,24.36406
2021-01-26 00:00:00,11,19.73049
2021-01-26 00:00:00,12,14.60982
2021-01-26 00:00:00,13,12.81576
2021-01-26 00:00:00,14,12.71551
2021-01-26 00:00:00,15,15.80717
2021-01-26 00:00:00,16,26.92736
2021-01-26 00:00:00,17,41.76787
2021-01-26 00:00:00,18,55.69293
2021-01-26 00:00:00,19,56.41874
2021-01-26 00:00:00,20,49.33141
2021-01-26 00:00:00,21,44.44444
2021-01-26 00:00:00,22,41.01129
2021-01-26 00:00:00,23,37.27393
2021-01-26 00:00:00,24,32.76263
2021-01-27 00:00:00,1,30.55992
2021-01-27 00:00:00,2,30.42792
2021-01-27 00:00:00,3,30.13231
2021-01-27 00:00:00,4,30.21575
2021-01-27 00:00:00,5,32.88171
2021-01-27 00:00:00,6,38.54413
2021-01-27 00:00:00,7,50.23721
2021-01-27 00:00:00,8,52.45726
2021-01-27 00:00:00,9,45.48221
2021-01-27 00:00:00,10,38.55793
2021-01-27 00:00:00,11,33.65733
2021-01-27 00:00:00,12,31.1532
2021-01-27 00:00:00,13,30.45341
2021-01-27 00:00:00,14,28.74632
2021-01-27 00:00:00,15,29.59833
2021-01-27 00:00:00,16,36.05361
2021-01-27 00:00:00,17,48.13252
2021-01-27 00:00:00,18,55.55282
2021-01-27 00:00:00,19,57.30056
2021-01-27 00:00:00,20,51.882
2021-01-27 00:00:00,21,48.35658
2021-01-27 00:00:00,22,43.76441
2021-01-27 00:00:00,23,37.06686
2021-01-27 00:00:00,24,35.3332
2021-01-28 00:00:00,1,31.4507
2021-01-28 00:00:00,2,30.59555
2021-01-28 00:00:00,3,30.21599
2021-01-28 00:00:00,4,30.13416
2021-01-28 00:00:00,5,32.19057
2021-01-28 00:00:00,6,36.87162
2021-01-28 00:00:00,7,44.67047
2021-01-28 00:00:00,8,53.43836
2021-01-28 00:00:00,9,38.22354
2021-01-28 00:00:00,10,32.97139
2021-01-28 00:00:00,11,30.99459
2021-01-28 00:00:00,12,30.41467
2021-01-28 00:00:00,13,29.59739
2021-01-28 00:00:00,14,30.03467
2021-01-28 00:00:00,15,30.27077
2021-01-28 00:00:00,16,34.15794
2021-01-28 00:00:00,17,44.43353
2021-01-28 00:00:00,18,52.64019
2021-01-28 00:00:00,19,56.30044
2021-01-28 00:00:00,20,50.0739
2021-01-28 00:00:00,21,45.02747
2021-01-28 00:00:00,22,40.91293
2021-01-28 00:00:00,23,35.3082
2021-01-28 00:00:00,24,34.999
2021-01-29 00:00:00,1,30.67453
2021-01-29 00:00:00,2,30.15034
2021-01-29 00:00:00,3,29.48162
2021-01-29 00:00:00,4,28.93528
2021-01-29 00:00:00,5,29.95135
2021-01-29 00:00:00,6,32.74848
2021-01-29 00:00:00,7,41.99713
2021-01-29 00:00:00,8,48.4216
2021-01-29 00:00:00,9,39.23927
2021-01-29 00:00:00,10,33.68004
2021-01-29 00:00:00,11,30.58726
2021-01-29 00:00:00,12,28.10479
2021-01-29 00:00:00,13,25.94032
2021-01-29 00:00:00,14,23.41623
2021-01-29 00:00:00,15,25.18409
2021-01-29 00:00:00,16,27.55688
2021-01-29 00:00:00,17,35.45718
2021-01-29 00:00:00,18,44.10974
2021-01-29 00:00:00,19,46.76782
2021-01-29 00:00:00,20,41.82518
2021-01-29 00:00:00,21,39.66183
2021-01-29 00:00:00,22,37.34423
2021-01-29 00:00:00,23,33.94984
2021-01-29 00:00:00,24,30.98547
2021-01-30 00:00:00,1,32.04073
2021-01-30 00:00:00,2,32.83226
2021-01-30 00:00:00,3,31.76941
2021-01-30 00:00:00,4,30.87593
2021-01-30 00:00:00,5,31.57436
2021-01-30 00:00:00,6,34.3124
2021-01-30 00:00:00,7,39.09686
2021-01-30 00:00:00,8,37.15116
2021-01-30 00:00:00,9,28.58549
2021-01-30 00:00:00,10,21.05544
2021-01-30 00:00:00,11,16.44891
2021-01-30 00:00:00,12,11.66304
2021-01-30 00:00:00,13,7.73443
2021-01-30 00:00:00,14,6.0257
2021-01-30 00:00:00,15,10.09184
2021-01-30 00:00:00,16,23.00933
2021-01-30 00:00:00,17,35.07695
2021-01-30 00:00:00,18,48.12604
2021-01-30 00:00:00,19,49.31926
2021-01-30 00:00:00,20,44.0186
2021-01-30 00:00:00,21,40.49587
2021-01-30 00:00:00,22,38.4686
2021-01-30 00:00:00,23,34.31228
2021-01-30 00:00:00,24,32.29503
2021-01-31 00:00:00,1,32.51414
2021-01-31 00:00:00,2,31.15459
2021-01-31 00:00:00,3,32.71932
2021-01-31 00:00:00,4,32.79274
2021-01-31 00:00:00,5,32.84299
2021-01-31 00:00:00,6,34.51374
2021-01-31 00:00:00,7,39.53488
2021-01-31 00:00:00,8,35.64518
2021-01-31 00:00:00,9,25.07797
2021-01-31 00:00:00,10,19.788
2021-01-31 00:00:00,11,17.84048
2021-01-31 00:00:00,12,17.49841
2021-01-31 00:00:00,13,16.7193
2021-01-31 00:00:00,14,16.25552
2021-01-31 00:00:00,15,22.62784
2021-01-31 00:00:00,16,30.1407
2021-01-31 00:00:00,17,39.3067
2021-01-31 00:00:00,18,49.16494
2021-01-31 00:00:00,19,52.69897
2021-01-31 00:00:00,20,45.8855
2021-01-31 00:00:00,21,40.39424
2021-01-31 00:00:00,22,36.925
2021-01-31 00:00:00,23,33.2326
2021-01-31 00:00:00,24,32.2546
